Time,Absorbance
0,0.0009
10,0.0526
20,0.1071
30,0.1504
40,0.2186
50,0.2346
60,0.3268
70,0.3813
80,0.4023
90,0.4514
100,0.5046
110,0.4844
120,0.5277
