Time,Absorbance
0,0.0011
10,0.0352
20,0.0661
30,0.1006
40,0.1392
50,0.1620
60,0.1961
70,0.2350
80,0.2483
90,0.2640
100,0.2801
110,0.2822
120,0.2848
