Time,Absorbance
0,0.0015
10,0.0309
20,0.0560
30,0.0859
40,0.1237
50,0.1365
60,0.1889
70,0.1968
80,0.2197
90,0.2518
100,0.2529
110,0.2600
120,0.2389
