Time,Absorbance
0,0.0012
10,0.0170
20,0.0319
30,0.0535
40,0.0618
50,0.0842
60,0.1010
70,0.1161
80,0.1178
90,0.1253
100,0.1316
110,0.1374
120,0.1392
