Time,Absorbance
0,0.0031
10,0.0722
20,0.1412
30,0.1833
40,0.2536
50,0.3599
60,0.3823
70,0.4364
80,0.5399
90,0.6051
100,0.6384
110,0.6191
120,0.6404
